epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00582,1.31364,2.99139,1.37151,0.00333,1,0.995,0.8404,0.49211,3.16468,1.04173,0,0,0
2,3.72551,1.60928,2.98632,1.78781,0.00333,1,0.995,0.83993,0.48609,3.16384,1.04028,1.9604e-05,1.9604e-05,1.9604e-05
3,5.44005,1.10286,2.8516,1.34555,0.00333,1,0.995,0.83798,0.46771,3.16351,1.03468,3.8416e-05,3.8416e-05,3.8416e-05
4,7.24826,0.9073,2.89955,1.36546,0.00333,1,0.9575,0.78247,0.46665,3.164,1.02582,5.6436e-05,5.6436e-05,5.6436e-05
5,8.96938,0.84438,2.66565,1.17941,0.00333,1,0.97833,0.80438,0.50133,3.15743,1.03787,7.3664e-05,7.3664e-05,7.3664e-05
6,10.7377,0.80424,2.6147,1.17174,0.00333,1,0.995,0.7767,0.5478,3.16292,1.05293,9.01e-05,9.01e-05,9.01e-05
7,12.4819,0.70492,2.57581,1.06961,0.00333,1,0.995,0.768,0.60664,3.16902,1.07951,0.000105744,0.000105744,0.000105744
8,14.2929,0.70795,2.36421,1.06793,0.00333,1,0.97192,0.70126,0.6439,3.17744,1.09104,0.000120596,0.000120596,0.000120596
9,16.3057,0.69401,2.43775,1.00218,0.00333,1,0.87962,0.63719,0.67117,3.19398,1.09098,0.000134656,0.000134656,0.000134656
10,18.2409,0.69909,2.36593,1.09124,0.00333,1,0.88827,0.58828,0.71824,3.18493,1.11075,0.000147924,0.000147924,0.000147924
11,20.0762,0.70461,2.22109,1.07587,0.00333,1,0.86295,0.57269,0.71962,3.18084,1.10402,0.0001604,0.0001604,0.0001604
12,21.9762,0.79383,2.23721,1.16507,0.00333,1,0.995,0.68348,0.71301,3.16946,1.10728,0.000172084,0.000172084,0.000172084
13,23.857,0.68567,2.04903,1.07144,0.00333,1,0.96773,0.67925,0.73337,3.18761,1.11139,0.000182976,0.000182976,0.000182976
14,25.7118,0.68971,2.03019,1.07353,0.00333,1,0.97833,0.69747,0.70333,3.17831,1.10982,0.000193076,0.000193076,0.000193076
15,27.5632,0.88234,2.16817,1.25316,0.00333,1,0.98591,0.79064,0.6199,3.1405,1.06994,0.000202384,0.000202384,0.000202384
16,29.4432,0.84035,2.05338,1.0787,0.00333,1,0.98591,0.79796,0.59082,3.14233,1.06057,0.0002109,0.0002109,0.0002109
